user_id,name,role,phone,created_at,status
57,劉志偉,Member,0977-890-123,2024-10-03 10:00:00,Active
58,吳淑娟,Member,0988-901-234,2024-10-03 13:15:00,Active
59,花蓮縣建築師公會,Member,03-8226789,2024-10-03 15:00:00,Active
60,花蓮縣土木技師公會,Member,03-8227890,2024-10-03 16:30:00,Active
61,花蓮縣護理師公會,Member,03-8228901,2024-10-04 09:00:00,Active
62,花蓮縣醫師公會,Member,03-8229012,2024-10-04 10:30:00,Active
63,花蓮縣社工師公會,Member,03-8230123,2024-10-04 12:00:00,Active
64,花蓮縣心理師公會,Member,03-8231234,2024-10-04 14:00:00,Active
65,花蓮縣獸醫師公會,Member,03-8232345,2024-10-04 15:30:00,Active
66,花蓮縣救護技術員協會,Member,03-8233456,2024-10-05 08:00:00,Active
67,花蓮縣搜救協會,Member,03-8234567,2024-10-05 09:30:00,Active
68,花蓮縣登山協會,Member,03-8235678,2024-10-05 11:00:00,Active
69,花蓮縣水上救生協會,Member,03-8236789,2024-10-05 13:00:00,Active
70,花蓮縣義消總隊,Member,03-8237890,2024-10-05 14:30:00,Active
71,花蓮縣義警大隊,Member,03-8238901,2024-10-05 16:00:00,Active
72,花蓮縣守望相助隊,Member,03-8239012,2024-10-06 08:30:00,Active
73,花蓮縣社區大學,Member,03-8240123,2024-10-06 10:00:00,Active
74,花蓮縣家庭教育中心,Member,03-8241234,2024-10-06 11:30:00,Active
75,花蓮縣婦女會,Member,03-8242345,2024-10-06 13:00:00,Active
76,花蓮縣青年會,Member,03-8243456,2024-10-06 14:30:00,Active
77,花蓮縣老人會,Member,03-8244567,2024-10-06 16:00:00,Active
78,花蓮縣原住民文化協會,Member,03-8245678,2024-10-07 08:00:00,Active
79,花蓮縣新住民服務協會,Member,03-8246789,2024-10-07 09:30:00,Active
80,花蓮縣身心障礙者協會,Member,03-8247890,2024-10-07 11:00:00,Active
81,花蓮縣單親家庭協會,Member,03-8248901,2024-10-07 13:00:00,Active
82,花蓮縣低收入戶關懷協會,Member,03-8249012,2024-10-07 14:30:00,Active
83,花蓮縣食物銀行,Member,03-8250123,2024-10-07 16:00:00,Active
84,花蓮縣物資銀行,Member,03-8251234,2024-10-08 08:30:00,Active
85,花蓮縣愛心物資中心,Member,03-8252345,2024-10-08 10:00:00,Active
86,花蓮縣慈善會,Member,03-8253456,2024-10-08 11:30:00,Active
87,花蓮縣功德會,Member,03-8254567,2024-10-08 13:00:00,Active
88,花蓮縣行善團,Member,03-8255678,2024-10-08 14:30:00,Active
89,花蓮縣義工團,Member,03-8256789,2024-10-08 16:00:00,Active
90,花蓮縣志工服務隊,Member,03-8257890,2024-10-09 08:30:00,Active
91,花蓮縣社區營造協會,Member,03-8258901,2024-10-09 10:00:00,Active
92,花蓮縣環境保護協會,Member,03-8259012,2024-10-09 11:30:00,Active
93,花蓮縣生態保育協會,Member,03-8260123,2024-10-09 13:00:00,Active
94,花蓮縣農業發展協會,Member,03-8261234,2024-10-09 14:30:00,Active
95,花蓮縣觀光發展協會,Member,03-8262345,2024-10-09 16:00:00,Active
96,花蓮縣文化藝術協會,Member,03-8263456,2024-10-10 08:30:00,Active
97,花蓮縣體育會,Member,03-8264567,2024-10-10 10:00:00,Active
98,花蓮縣宗教團體聯合會,Member,03-8265678,2024-10-10 11:30:00,Active
99,花蓮縣佛教會,Member,03-8266789,2024-10-10 13:00:00,Active
100,花蓮縣道教會,Member,03-8267890,2024-10-10 14:30:00,Active

